sweep_axis,tilt_angle,repeat,position,label,angle_x,angle_y,cx,cy
y,0.07999999999999999,0,5,"(+x, 0)",0.0,0.0,1214.5538592095209,826.8431896636093
y,0.07999999999999999,0,6,"(-x,-y)",-0.0,-0.07999999999999999,1214.64744070898,826.5890873165366
y,0.07999999999999999,0,7,"(0,-y)",0.0,-0.07999999999999999,1214.6434834419435,826.6121835341703
y,0.07999999999999999,0,8,"(+x,-y)",0.0,-0.07999999999999999,1214.6448126437867,826.6078499534353
y,0.07999999999999999,1,0,"(-x,+y)",-0.0,0.07999999999999999,1214.685383629171,827.1067855033115
y,0.07999999999999999,1,1,"(0,+y)",0.0,0.07999999999999999,1214.6241240602903,827.0725899113719
y,0.07999999999999999,1,2,"(+x,+y)",0.0,0.07999999999999999,1214.6013196731217,827.0694740502036
y,0.07999999999999999,1,3,"(-x, 0)",-0.0,0.0,1214.6044967525547,826.8271974208637
y,0.07999999999999999,1,4,"(0, 0)",0.0,0.0,1214.6026865109484,826.8225074048207
y,0.07999999999999999,1,5,"(+x, 0)",0.0,0.0,1214.6039882015416,826.8298118909523
y,0.07999999999999999,1,6,"(-x,-y)",-0.0,-0.07999999999999999,1214.6804124792561,826.5877183045693
y,0.07999999999999999,1,7,"(0,-y)",0.0,-0.07999999999999999,1214.6809331932714,826.5759795145776
y,0.07999999999999999,1,8,"(+x,-y)",0.0,-0.07999999999999999,1214.6900543263923,826.5628927992016
y,0.07999999999999999,2,0,"(-x,+y)",-0.0,0.07999999999999999,1214.5984813483697,827.0956611487815
y,0.07999999999999999,2,1,"(0,+y)",0.0,0.07999999999999999,1214.5727097542785,827.0721895797076
y,0.07999999999999999,2,2,"(+x,+y)",0.0,0.07999999999999999,1214.596261821456,827.0748484326374
y,0.07999999999999999,2,3,"(-x, 0)",-0.0,0.0,1214.6170536042516,826.8441209585773
y,0.07999999999999999,2,4,"(0, 0)",0.0,0.0,1214.609417534709,826.8326055261289
y,0.07999999999999999,2,5,"(+x, 0)",0.0,0.0,1214.5825511499675,826.8249416231229
y,0.07999999999999999,2,6,"(-x,-y)",-0.0,-0.07999999999999999,1214.6657459728563,826.5975527305052
y,0.07999999999999999,2,7,"(0,-y)",0.0,-0.07999999999999999,1214.6815966286774,826.5429186599098
y,0.07999999999999999,2,8,"(+x,-y)",0.0,-0.07999999999999999,1214.6533334467474,826.5810867358671
y,0.07999999999999999,3,0,"(-x,+y)",-0.0,0.07999999999999999,1214.5672604583392,827.0861280477776
y,0.07999999999999999,3,1,"(0,+y)",0.0,0.07999999999999999,1214.5560183461657,827.0237441791542
y,0.07999999999999999,3,2,"(+x,+y)",0.0,0.07999999999999999,1214.5542994968628,827.0462732542708
y,0.07999999999999999,3,3,"(-x, 0)",-0.0,0.0,1214.616479455405,826.755656730858
y,0.07999999999999999,3,4,"(0, 0)",0.0,0.0,1214.6479921321486,826.6951290369773
y,0.07999999999999999,3,5,"(+x, 0)",0.0,0.0,1214.6069579852674,826.7559988240232
y,0.07999999999999999,3,6,"(-x,-y)",-0.0,-0.07999999999999999,1214.6427295887822,826.5383770844779
y,0.07999999999999999,3,7,"(0,-y)",0.0,-0.07999999999999999,1214.6428317879092,826.5133194686997
y,0.07999999999999999,3,8,"(+x,-y)",0.0,-0.07999999999999999,1214.6576054647885,826.5253047670308
y,0.07999999999999999,4,0,"(-x,+y)",-0.0,0.07999999999999999,1214.576752698349,827.0878171820717
y,0.07999999999999999,4,1,"(0,+y)",0.0,0.07999999999999999,1214.5733803185021,827.084220808343
y,0.07999999999999999,4,2,"(+x,+y)",0.0,0.07999999999999999,1214.5774922173248,827.0562025856095
y,0.07999999999999999,4,3,"(-x, 0)",-0.0,0.0,1214.60912639403,826.7987734517654
y,0.07999999999999999,4,4,"(0, 0)",0.0,0.0,1214.6383808575517,826.7843907906648
y,0.07999999999999999,4,5,"(+x, 0)",0.0,0.0,1214.6299056990745,826.7872797641195
y,0.07999999999999999,4,6,"(-x,-y)",-0.0,-0.07999999999999999,1214.6758040327863,826.5423130792308
y,0.07999999999999999,4,7,"(0,-y)",0.0,-0.07999999999999999,1214.6855016638244,826.5144034861196
y,0.07999999999999999,4,8,"(+x,-y)",0.0,-0.07999999999999999,1214.6979894245148,826.5304747632617
y,0.09999999999999999,0,0,"(-x,+y)",-0.0,0.09999999999999999,1214.6117891772888,827.1697306905289
y,0.09999999999999999,0,1,"(0,+y)",0.0,0.09999999999999999,1214.5920230762306,827.1604957306173
y,0.09999999999999999,0,2,"(+x,+y)",0.0,0.09999999999999999,1214.577584104695,827.1408867795093
y,0.09999999999999999,0,3,"(-x, 0)",-0.0,0.0,1214.5912998719928,826.8190728588204
y,0.09999999999999999,0,4,"(0, 0)",0.0,0.0,1214.5853673296817,826.8313692793771
y,0.09999999999999999,0,5,"(+x, 0)",0.0,0.0,1214.5681394166747,826.8462568077515
y,0.09999999999999999,0,6,"(-x,-y)",-0.0,-0.09999999999999999,1214.6557682031464,826.43181971312
y,0.09999999999999999,0,7,"(0,-y)",0.0,-0.09999999999999999,1214.6572489173216,826.4078909348445
y,0.09999999999999999,0,8,"(+x,-y)",0.0,-0.09999999999999999,1214.6601737410945,826.4537824579556
y,0.09999999999999999,1,0,"(-x,+y)",-0.0,0.09999999999999999,1214.578876665488,827.1146843280811
y,0.09999999999999999,1,1,"(0,+y)",0.0,0.09999999999999999,1214.5715516968805,827.1287494501711
y,0.09999999999999999,1,2,"(+x,+y)",0.0,0.09999999999999999,1214.596435077911,827.1249895933415
y,0.09999999999999999,1,3,"(-x, 0)",-0.0,0.0,1214.6134316749944,826.7991696078951
y,0.09999999999999999,1,4,"(0, 0)",0.0,0.0,1214.6062937932531,826.8072515593657
y,0.09999999999999999,1,5,"(+x, 0)",0.0,0.0,1214.6020804412628,826.7764125500061
y,0.09999999999999999,1,6,"(-x,-y)",-0.0,-0.09999999999999999,1214.6579015086038,826.3833736170542
y,0.09999999999999999,1,7,"(0,-y)",0.0,-0.09999999999999999,1214.6744055597603,826.4344132644059
y,0.09999999999999999,1,8,"(+x,-y)",0.0,-0.09999999999999999,1214.6703738048748,826.4571439031856
y,0.09999999999999999,2,0,"(-x,+y)",-0.0,0.09999999999999999,1214.6046303974138,827.1497943038562
y,0.09999999999999999,2,1,"(0,+y)",0.0,0.09999999999999999,1214.5927327481343,827.1173036644898
y,0.09999999999999999,2,2,"(+x,+y)",0.0,0.09999999999999999,1214.6056581295045,827.1135127284545
y,0.09999999999999999,2,3,"(-x, 0)",-0.0,0.0,1214.6189382590646,826.7933532146271
y,0.09999999999999999,2,4,"(0, 0)",0.0,0.0,1214.6297966802151,826.7805457935901
y,0.09999999999999999,2,5,"(+x, 0)",0.0,0.0,1214.634655203699,826.7637084045663
y,0.09999999999999999,2,6,"(-x,-y)",-0.0,-0.09999999999999999,1214.6768596328172,826.4010605728935
y,0.09999999999999999,2,7,"(0,-y)",0.0,-0.09999999999999999,1214.6773285769093,826.3881099004476
y,0.09999999999999999,2,8,"(+x,-y)",0.0,-0.09999999999999999,1214.6867174005306,826.4382978634891
y,0.09999999999999999,3,0,"(-x,+y)",-0.0,0.09999999999999999,1214.598726334564,827.116898772661
y,0.09999999999999999,3,1,"(0,+y)",0.0,0.09999999999999999,1214.6057234939703,827.1273582940679
y,0.09999999999999999,3,2,"(+x,+y)",0.0,0.09999999999999999,1214.6042217475053,827.1124963832955
y,0.09999999999999999,3,3,"(-x, 0)",-0.0,0.0,1214.629194610989,826.7846236813967
y,0.09999999999999999,3,4,"(0, 0)",0.0,0.0,1214.6460058304426,826.7664508104411
y,0.09999999999999999,3,5,"(+x, 0)",0.0,0.0,1214.6401775359793,826.776266925342
y,0.09999999999999999,3,6,"(-x,-y)",-0.0,-0.09999999999999999,1214.6908124775189,826.4267085058941
y,0.09999999999999999,3,7,"(0,-y)",0.0,-0.09999999999999999,1214.6897524795486,826.4250541613185
y,0.09999999999999999,3,8,"(+x,-y)",0.0,-0.09999999999999999,1214.689018638015,826.3985883982333
y,0.09999999999999999,4,0,"(-x,+y)",-0.0,0.09999999999999999,1214.6096599523144,827.1114553399498
y,0.09999999999999999,4,1,"(0,+y)",0.0,0.09999999999999999,1214.6070565960854,827.1198032885883
y,0.09999999999999999,4,2,"(+x,+y)",0.0,0.09999999999999999,1214.6047484596734,827.1204280180216
y,0.09999999999999999,4,3,"(-x, 0)",-0.0,0.0,1214.629556411962,826.7816249347069
y,0.09999999999999999,4,4,"(0, 0)",0.0,0.0,1214.6074323332364,826.840185386797
y,0.09999999999999999,4,5,"(+x, 0)",0.0,0.0,1214.6261357732503,826.7924306319659
y,0.09999999999999999,4,6,"(-x,-y)",-0.0,-0.09999999999999999,1214.6979049986662,826.410389734376
y,0.09999999999999999,4,7,"(0,-y)",0.0,-0.09999999999999999,1214.6996148028652,826.4286975409395
y,0.09999999999999999,4,8,"(+x,-y)",0.0,-0.09999999999999999,1214.7037966836485,826.4443102700234
y,0.11999999999999998,0,0,"(-x,+y)",-0.0,0.11999999999999998,1214.6023982036727,827.1319182244189
y,0.11999999999999998,0,1,"(0,+y)",0.0,0.11999999999999998,1214.6286207459375,827.202626590212
y,0.11999999999999998,0,2,"(+x,+y)",0.0,0.11999999999999998,1214.6524506795704,827.1606772685567
y,0.11999999999999998,0,3,"(-x, 0)",-0.0,0.0,1214.6460362941798,826.7963710665825
y,0.11999999999999998,0,4,"(0, 0)",0.0,0.0,1214.6495057975123,826.8127181343033
y,0.11999999999999998,0,5,"(+x, 0)",0.0,0.0,1214.667229773251,826.7493090548054
y,0.11999999999999998,0,6,"(-x,-y)",-0.0,-0.11999999999999998,1214.6874182590452,826.330672761091
y,0.11999999999999998,0,7,"(0,-y)",0.0,-0.11999999999999998,1214.6892010614506,826.3538926749625
y,0.11999999999999998,0,8,"(+x,-y)",0.0,-0.11999999999999998,1214.6755875918507,826.3252709364546
y,0.11999999999999998,1,0,"(-x,+y)",-0.0,0.11999999999999998,1214.6410051162256,827.1714359671532
y,0.11999999999999998,1,1,"(0,+y)",0.0,0.11999999999999998,1214.6552012472196,827.1934703902995
y,0.11999999999999998,1,2,"(+x,+y)",0.0,0.11999999999999998,1214.6537729347417,827.1885193549108
y,0.11999999999999998,1,3,"(-x, 0)",-0.0,0.0,1214.665159688379,826.7526161433485
y,0.11999999999999998,1,4,"(0, 0)",0.0,0.0,1214.6811066452958,826.7457028623917
y,0.11999999999999998,1,5,"(+x, 0)",0.0,0.0,1214.6726337596042,826.7879864635047
y,0.11999999999999998,1,6,"(-x,-y)",-0.0,-0.11999999999999998,1214.715029500578,826.3812968422499
y,0.11999999999999998,1,7,"(0,-y)",0.0,-0.11999999999999998,1214.686694857992,826.3287276412184
y,0.11999999999999998,1,8,"(+x,-y)",0.0,-0.11999999999999998,1214.7033808739056,826.3529510801978
y,0.11999999999999998,2,0,"(-x,+y)",-0.0,0.11999999999999998,1214.6662459409788,827.1570739144851
y,0.11999999999999998,2,1,"(0,+y)",0.0,0.11999999999999998,1214.6704294421008,827.1575715593967
y,0.11999999999999998,2,2,"(+x,+y)",0.0,0.11999999999999998,1214.6761599833094,827.171233979861
y,0.11999999999999998,2,3,"(-x, 0)",-0.0,0.0,1214.687699816865,826.7316097553388
y,0.11999999999999998,2,4,"(0, 0)",0.0,0.0,1214.6818474556947,826.7503756552703
y,0.11999999999999998,2,5,"(+x, 0)",0.0,0.0,1214.6841184779869,826.7336172749209
y,0.11999999999999998,2,6,"(-x,-y)",-0.0,-0.11999999999999998,1214.68788854745,826.3429609847472
y,0.11999999999999998,2,7,"(0,-y)",0.0,-0.11999999999999998,1214.7026192555654,826.340848787682
y,0.11999999999999998,2,8,"(+x,-y)",0.0,-0.11999999999999998,1214.6934007124457,826.3299178285848
y,0.11999999999999998,3,0,"(-x,+y)",-0.0,0.11999999999999998,1214.664875409244,827.1424567583816
y,0.11999999999999998,3,1,"(0,+y)",0.0,0.11999999999999998,1214.675099989808,827.167202598912
y,0.11999999999999998,3,2,"(+x,+y)",0.0,0.11999999999999998,1214.6628456474991,827.1706610338244
y,0.11999999999999998,3,3,"(-x, 0)",-0.0,0.0,1214.7013303813387,826.7259208403234
y,0.11999999999999998,3,4,"(0, 0)",0.0,0.0,1214.6944055747545,826.7377210164233
y,0.11999999999999998,3,5,"(+x, 0)",0.0,0.0,1214.6979378194847,826.7203506979248
y,0.11999999999999998,3,6,"(-x,-y)",-0.0,-0.11999999999999998,1214.699660358391,826.3307142193104
y,0.11999999999999998,3,7,"(0,-y)",0.0,-0.11999999999999998,1214.6935452538196,826.3226318403289
