sweep_axis,tilt_angle_deg,position,label,dx_mean_px,dx_std_px,dy_mean_px,dy_std_px
y,0.02000,2,"(+x,+y)",-0.0108,0.0133,0.0808,0.0083
y,0.02000,3,"(-x, 0)",0.0049,0.0062,0.0056,0.0071
y,0.02000,5,"(+x, 0)",0.0076,0.0095,-0.0041,0.0191
y,0.02000,6,"(-x,-y)",0.0151,0.0166,-0.0779,0.0102
y,0.02000,7,"(0,-y)",-0.0071,0.0607,-0.0652,0.0223
y,0.02000,8,"(+x,-y)",-0.0227,0.1442,-0.0533,0.0479
y,0.04000,0,"(-x,+y)",-0.0104,0.0898,0.0915,0.0821
y,0.04000,1,"(0,+y)",-0.0327,0.0690,0.1257,0.0584
y,0.04000,2,"(+x,+y)",-0.0363,0.0662,0.1354,0.0280
y,0.04000,3,"(-x, 0)",-0.0017,0.0045,0.0214,0.0216
y,0.04000,5,"(+x, 0)",-0.0076,0.0421,-0.0019,0.0240
y,0.04000,6,"(-x,-y)",0.0147,0.0090,-0.1261,0.0400
y,0.04000,7,"(0,-y)",0.0230,0.0269,-0.1311,0.0588
y,0.04000,8,"(+x,-y)",0.0284,0.0270,-0.1153,0.0335
y,0.06000,0,"(-x,+y)",-0.0359,0.0731,0.1878,0.0185
y,0.06000,1,"(0,+y)",-0.0363,0.0898,0.2047,0.0443
y,0.06000,2,"(+x,+y)",-0.0008,0.0568,0.1763,0.0245
y,0.06000,3,"(-x, 0)",0.0018,0.0108,-0.0053,0.0308
y,0.06000,5,"(+x, 0)",-0.0204,0.0462,0.0186,0.0620
y,0.06000,6,"(-x,-y)",0.0419,0.0663,-0.1751,0.0363
y,0.06000,7,"(0,-y)",0.0724,0.0185,-0.2189,0.0275
y,0.06000,8,"(+x,-y)",0.0462,0.0720,-0.1913,0.0460
y,0.08000,0,"(-x,+y)",0.0018,0.0687,0.2962,0.0520
y,0.08000,1,"(0,+y)",-0.0218,0.0568,0.2621,0.0477
y,0.08000,2,"(+x,+y)",-0.0198,0.0558,0.2910,0.0469
y,0.08000,3,"(-x, 0)",-0.0009,0.0287,0.0273,0.0218
y,0.08000,5,"(+x, 0)",-0.0249,0.0191,0.0161,0.0238
y,0.08000,6,"(-x,-y)",0.0421,0.0274,-0.2211,0.0323
y,0.08000,7,"(0,-y)",0.0465,0.0296,-0.2404,0.0387
y,0.08000,8,"(+x,-y)",0.0484,0.0254,-0.2306,0.0337
y,0.10000,0,"(-x,+y)",-0.0142,0.0257,0.3274,0.0345
y,0.10000,1,"(0,+y)",-0.0212,0.0200,0.3256,0.0265
y,0.10000,2,"(+x,+y)",-0.0172,0.0142,0.3173,0.0224
y,0.10000,3,"(-x, 0)",0.0015,0.0139,-0.0096,0.0271
y,0.10000,5,"(+x, 0)",-0.0007,0.0120,-0.0141,0.0238
y,0.10000,6,"(-x,-y)",0.0609,0.0173,-0.3945,0.0327
y,0.10000,7,"(0,-y)",0.0647,0.0176,-0.3883,0.0291
y,0.10000,8,"(+x,-y)",0.0670,0.0179,-0.3667,0.0192
y,0.12000,0,"(-x,+y)",-0.0389,0.0158,0.3976,0.0406
y,0.12000,1,"(0,+y)",-0.0258,0.0137,0.4142,0.0215
y,0.12000,2,"(+x,+y)",-0.0170,0.0133,0.4166,0.0351
y,0.12000,3,"(-x, 0)",-0.0007,0.0084,-0.0100,0.0090
y,0.12000,5,"(+x, 0)",0.0034,0.0084,-0.0142,0.0336
y,0.12000,6,"(-x,-y)",0.0200,0.0137,-0.4111,0.0388
